image_path,num_instances,bounding_boxes
synthetic_data_new/synthetic_image_Oswald-Regular_493x108.png,8,"[(74, 22, 179, 53), (306, 43, 179, 53)]"
synthetic_data_new/synthetic_image_Oswald-Regular_326x106.png,3,"[(123, 34, 120, 36), (2, 24, 120, 36)]"
synthetic_data_new/synthetic_image_Oswald-Regular_407x111.png,4,"[(244, 19, 152, 45), (15, 13, 152, 45), (24, 60, 152, 45), (196, 66, 152, 45)]"
synthetic_data_new/synthetic_image_Oswald-Regular_348x119.png,2,"[(31, 52, 179, 53)]"
synthetic_data_new/synthetic_image_Oswald-Regular_395x104.png,6,"[(185, 5, 193, 57)]"
synthetic_data_new/synthetic_image_Oswald-Regular_493x86.png,3,"[(66, 26, 202, 59), (277, 18, 202, 59)]"
synthetic_data_new/synthetic_image_Oswald-Regular_431x100.png,5,"[(230, 0, 129, 38), (46, 35, 129, 38), (271, 50, 129, 38)]"
synthetic_data_new/synthetic_image_Oswald-Regular_368x112.png,1,"[(162, 2, 133, 39)]"
synthetic_data_new/synthetic_image_Oswald-Regular_414x95.png,3,"[(22, 7, 207, 60)]"
synthetic_data_new/synthetic_image_Oswald-Regular_488x96.png,8,"[(153, 11, 115, 34), (303, 0, 115, 34), (82, 52, 115, 34), (288, 45, 115, 34), (31, 6, 115, 34)]"
synthetic_data_new/synthetic_image_Oswald-Regular_472x81.png,10,"[(303, 4, 152, 45), (142, 13, 152, 45)]"
synthetic_data_new/synthetic_image_Oswald-Regular_397x102.png,10,"[(190, 9, 202, 59)]"
synthetic_data_new/synthetic_image_Oswald-Regular_455x94.png,10,"[(283, 32, 124, 37), (143, 42, 124, 37), (14, 0, 124, 37), (5, 38, 124, 37), (142, 0, 124, 37)]"
synthetic_data_new/synthetic_image_Oswald-Regular_304x96.png,7,"[(58, 2, 166, 48)]"
synthetic_data_new/synthetic_image_Oswald-Regular_455x80.png,3,"[(187, 22, 179, 53), (0, 6, 179, 53)]"
synthetic_data_new/synthetic_image_Oswald-Regular_443x112.png,2,"[(210, 50, 189, 55), (11, 7, 189, 55)]"
synthetic_data_new/synthetic_image_Oswald-Regular_309x92.png,1,"[(82, 26, 198, 58)]"
synthetic_data_new/synthetic_image_Oswald-Regular_484x92.png,10,"[(148, 10, 156, 46), (320, 34, 156, 46)]"
synthetic_data_new/synthetic_image_Oswald-Regular_355x82.png,5,"[(25, 34, 133, 39), (206, 10, 133, 39)]"
synthetic_data_new/synthetic_image_Oswald-Regular_324x82.png,1,"[(56, 30, 161, 47)]"
synthetic_data_new/synthetic_image_Oswald-Regular_378x110.png,6,"[(20, 44, 216, 64)]"
synthetic_data_new/synthetic_image_Oswald-Regular_330x91.png,4,"[(15, 14, 216, 64)]"
synthetic_data_new/synthetic_image_Oswald-Regular_400x106.png,6,"[(51, 20, 129, 38), (234, 15, 129, 38), (16, 67, 129, 38), (207, 56, 129, 38)]"
synthetic_data_new/synthetic_image_Oswald-Regular_315x84.png,10,"[(135, 13, 170, 50)]"
synthetic_data_new/synthetic_image_Oswald-Regular_301x114.png,7,"[(32, 48, 170, 50)]"
synthetic_data_new/synthetic_image_Oswald-Regular_353x84.png,6,"[(65, 14, 216, 64)]"
synthetic_data_new/synthetic_image_Oswald-Regular_328x90.png,4,"[(79, 24, 184, 54)]"
synthetic_data_new/synthetic_image_Oswald-Regular_498x111.png,9,"[(226, 31, 147, 44), (11, 14, 147, 44), (21, 62, 147, 44)]"
synthetic_data_new/synthetic_image_Oswald-Regular_407x93.png,5,"[(175, 22, 189, 55)]"
synthetic_data_new/synthetic_image_Oswald-Regular_458x109.png,5,"[(94, 62, 156, 46), (221, 14, 156, 46), (64, 10, 156, 46), (292, 62, 156, 46)]"
synthetic_data_new/synthetic_image_Oswald-Regular_475x86.png,1,"[(230, 2, 170, 50)]"
synthetic_data_new/synthetic_image_Oswald-Regular_402x94.png,5,"[(52, 24, 133, 39), (269, 51, 133, 39), (214, 0, 133, 39)]"
synthetic_data_new/synthetic_image_Oswald-Regular_358x102.png,8,"[(106, 41, 161, 47)]"
synthetic_data_new/synthetic_image_Oswald-Regular_458x116.png,3,"[(194, 23, 175, 51), (2, 25, 175, 51)]"
synthetic_data_new/synthetic_image_Oswald-Regular_339x112.png,6,"[(55, 36, 198, 58)]"
synthetic_data_new/synthetic_image_Oswald-Regular_407x113.png,7,"[(81, 37, 175, 51)]"
synthetic_data_new/synthetic_image_Oswald-Regular_389x101.png,3,"[(138, 41, 129, 38), (3, 13, 129, 38), (8, 59, 129, 38)]"
synthetic_data_new/synthetic_image_Oswald-Regular_365x119.png,7,"[(92, 6, 212, 62)]"
synthetic_data_new/synthetic_image_Oswald-Regular_429x81.png,4,"[(94, 20, 202, 59)]"
synthetic_data_new/synthetic_image_Oswald-Regular_373x94.png,1,"[(84, 34, 110, 33)]"
synthetic_data_new/synthetic_image_Oswald-Regular_354x118.png,8,"[(26, 35, 170, 50)]"
synthetic_data_new/synthetic_image_Oswald-Regular_362x84.png,10,"[(151, 31, 138, 40), (6, 34, 138, 40)]"
synthetic_data_new/synthetic_image_Oswald-Regular_408x89.png,10,"[(173, 7, 202, 59)]"
synthetic_data_new/synthetic_image_Oswald-Regular_417x112.png,1,"[(241, 3, 175, 51)]"
synthetic_data_new/synthetic_image_Oswald-Regular_343x98.png,10,"[(68, 35, 184, 54)]"
synthetic_data_new/synthetic_image_Oswald-Regular_362x118.png,2,"[(83, 50, 202, 59)]"
synthetic_data_new/synthetic_image_Oswald-Regular_376x111.png,8,"[(151, 25, 216, 64)]"
synthetic_data_new/synthetic_image_Roboto-Regular_428x118.png,4,"[(88, 31, 240, 46)]"
synthetic_data_new/synthetic_image_Roboto-Regular_370x94.png,8,"[(137, 60, 156, 30), (6, 27, 156, 30), (206, 6, 156, 30)]"
synthetic_data_new/synthetic_image_Roboto-Regular_454x103.png,3,"[(112, 11, 257, 50)]"
synthetic_data_new/synthetic_image_Roboto-Regular_409x94.png,3,"[(29, 13, 251, 48)]"
synthetic_data_new/synthetic_image_Roboto-Regular_356x89.png,9,"[(3, 1, 246, 47)]"
synthetic_data_new/synthetic_image_Roboto-Regular_427x100.png,9,"[(63, 36, 190, 37)]"
synthetic_data_new/synthetic_image_Roboto-Regular_319x80.png,2,"[(153, 31, 162, 31)]"
synthetic_data_new/synthetic_image_Roboto-Regular_370x96.png,7,"[(106, 33, 251, 48)]"
synthetic_data_new/synthetic_image_Roboto-Regular_434x107.png,8,"[(19, 27, 151, 30), (86, 68, 151, 30), (176, 27, 151, 30), (270, 74, 151, 30)]"
synthetic_data_new/synthetic_image_Roboto-Regular_453x104.png,2,"[(165, 37, 196, 38)]"
synthetic_data_new/synthetic_image_Roboto-Regular_321x94.png,3,"[(84, 20, 229, 45)]"
synthetic_data_new/synthetic_image_Roboto-Regular_394x119.png,2,"[(17, 3, 207, 40), (9, 74, 207, 40)]"
synthetic_data_new/synthetic_image_Roboto-Regular_315x99.png,7,"[(62, 16, 235, 45)]"
synthetic_data_new/synthetic_image_Roboto-Regular_453x120.png,8,"[(36, 55, 207, 40), (67, 8, 207, 40), (246, 62, 207, 40)]"
synthetic_data_new/synthetic_image_Roboto-Regular_419x80.png,3,"[(142, 0, 223, 44)]"
synthetic_data_new/synthetic_image_Roboto-Regular_389x100.png,6,"[(193, 34, 184, 36), (1, 27, 184, 36)]"
synthetic_data_new/synthetic_image_Roboto-Regular_425x89.png,10,"[(43, 39, 246, 47)]"
synthetic_data_new/synthetic_image_Roboto-Regular_483x101.png,3,"[(173, 36, 257, 50)]"
synthetic_data_new/synthetic_image_Roboto-Regular_391x99.png,7,"[(110, 21, 140, 28), (217, 61, 140, 28), (251, 16, 140, 28), (43, 65, 140, 28)]"
synthetic_data_new/synthetic_image_Roboto-Regular_326x108.png,10,"[(8, 43, 263, 51)]"
synthetic_data_new/synthetic_image_Roboto-Regular_309x119.png,2,"[(53, 76, 140, 28), (65, 21, 140, 28)]"
synthetic_data_new/synthetic_image_Roboto-Regular_327x88.png,3,"[(43, 32, 179, 35)]"
synthetic_data_new/synthetic_image_Roboto-Regular_397x105.png,1,"[(46, 29, 190, 37)]"
synthetic_data_new/synthetic_image_Roboto-Regular_388x96.png,4,"[(67, 30, 257, 50)]"
synthetic_data_new/synthetic_image_Roboto-Regular_336x109.png,3,"[(6, 58, 156, 30), (103, 15, 156, 30), (168, 54, 156, 30)]"
synthetic_data_new/synthetic_image_Roboto-Regular_369x119.png,9,"[(118, 17, 229, 45), (105, 72, 229, 45)]"
synthetic_data_new/synthetic_image_Roboto-Regular_304x112.png,3,"[(16, 40, 268, 52)]"
synthetic_data_new/synthetic_image_Roboto-Regular_343x119.png,7,"[(27, 39, 263, 51)]"
synthetic_data_new/synthetic_image_Roboto-Regular_309x91.png,9,"[(107, 51, 134, 26), (139, 5, 134, 26), (2, 3, 134, 26)]"
synthetic_data_new/synthetic_image_Roboto-Regular_449x80.png,10,"[(205, 34, 201, 39), (1, 8, 201, 39)]"
synthetic_data_new/synthetic_image_Roboto-Regular_498x83.png,4,"[(202, 12, 156, 30), (38, 29, 156, 30), (319, 52, 156, 30)]"
synthetic_data_new/synthetic_image_Roboto-Regular_362x104.png,5,"[(49, 8, 218, 43), (35, 56, 218, 43)]"
synthetic_data_new/synthetic_image_Roboto-Regular_453x80.png,7,"[(38, 6, 134, 26), (92, 54, 134, 26), (203, 16, 134, 26), (239, 47, 134, 26)]"
synthetic_data_new/synthetic_image_Roboto-Regular_379x120.png,9,"[(23, 39, 257, 50)]"
synthetic_data_new/synthetic_image_Roboto-Regular_407x106.png,5,"[(226, 17, 151, 30), (99, 52, 151, 30), (6, 15, 151, 30)]"
synthetic_data_new/synthetic_image_Roboto-Regular_362x100.png,1,"[(70, 25, 268, 52)]"
synthetic_data_new/synthetic_image_Roboto-Regular_486x101.png,7,"[(39, 64, 140, 28), (181, 18, 140, 28), (285, 73, 140, 28), (4, 34, 140, 28), (328, 15, 140, 28), (32, 0, 140, 28)]"
synthetic_data_new/synthetic_image_Roboto-Regular_328x100.png,10,"[(3, 30, 218, 43)]"
synthetic_data_new/synthetic_image_Roboto-Regular_472x111.png,8,"[(183, 69, 162, 31), (38, 20, 162, 31), (305, 37, 162, 31), (256, 3, 162, 31), (9, 61, 162, 31)]"
synthetic_data_new/synthetic_image_Roboto-Regular_380x120.png,9,"[(110, 47, 229, 45), (76, 0, 229, 45)]"
synthetic_data_new/synthetic_image_Roboto-Regular_477x92.png,5,"[(19, 13, 140, 28), (203, 54, 140, 28), (311, 5, 140, 28), (1, 42, 140, 28), (165, 3, 140, 28)]"
synthetic_data_new/synthetic_image_Roboto-Regular_325x109.png,4,"[(105, 30, 151, 30), (41, 68, 151, 30)]"
synthetic_data_new/synthetic_image_Roboto-Regular_479x116.png,8,"[(61, 10, 218, 43), (69, 54, 218, 43)]"
synthetic_data_new/synthetic_image_Roboto-Regular_422x104.png,7,"[(19, 5, 156, 30), (178, 19, 156, 30), (26, 71, 156, 30), (206, 65, 156, 30), (19, 37, 156, 30)]"
synthetic_data_new/synthetic_image_Roboto-Regular_433x88.png,10,"[(36, 21, 240, 46)]"
synthetic_data_new/synthetic_image_Roboto-Regular_461x105.png,4,"[(213, 49, 218, 43), (126, 4, 218, 43)]"
synthetic_data_new/synthetic_image_Roboto-Regular_409x100.png,3,"[(188, 16, 179, 35), (148, 58, 179, 35), (1, 3, 179, 35)]"
synthetic_data_new/synthetic_image_Roboto-Regular_446x100.png,5,"[(27, 38, 263, 51)]"
synthetic_data_new/synthetic_image_Roboto-Regular_367x86.png,6,"[(135, 23, 179, 35)]"
synthetic_data_new/synthetic_image_Roboto-Regular_363x88.png,10,"[(110, 45, 196, 38), (152, 2, 196, 38)]"
synthetic_data_new/synthetic_image_Roboto-Regular_339x118.png,7,"[(2, 67, 145, 29), (86, 33, 145, 29), (184, 2, 145, 29), (172, 66, 145, 29), (20, 0, 145, 29)]"
synthetic_data_new/synthetic_image_Roboto-Regular_372x116.png,7,"[(159, 65, 212, 41), (148, 16, 212, 41)]"
synthetic_data_new/synthetic_image_Roboto-Regular_335x118.png,4,"[(122, 11, 212, 41), (65, 75, 212, 41)]"
synthetic_data_new/synthetic_image_Roboto-Regular_328x85.png,7,"[(89, 19, 235, 45)]"
synthetic_data_new/synthetic_image_Roboto-Regular_500x80.png,8,"[(288, 8, 207, 40), (14, 5, 207, 40)]"
synthetic_data_new/synthetic_image_Roboto-Regular_420x120.png,5,"[(58, 42, 184, 36), (162, 79, 184, 36), (235, 0, 184, 36), (38, 0, 184, 36)]"
synthetic_data_new/synthetic_image_Roboto-Regular_326x104.png,9,"[(24, 27, 151, 30), (95, 72, 151, 30)]"
synthetic_data_new/synthetic_image_Roboto-Regular_482x103.png,8,"[(79, 36, 207, 40)]"
synthetic_data_new/synthetic_image_Roboto-Regular_499x111.png,8,"[(152, 15, 207, 40), (7, 68, 207, 40), (278, 57, 207, 40)]"
synthetic_data_new/synthetic_image_Roboto-Regular_346x80.png,8,"[(148, 22, 162, 31)]"
synthetic_data_new/synthetic_image_Roboto-Regular_344x107.png,8,"[(104, 60, 184, 36), (70, 6, 184, 36)]"
synthetic_data_new/synthetic_image_Roboto-Regular_385x113.png,4,"[(36, 68, 235, 45), (102, 7, 235, 45)]"
synthetic_data_new/synthetic_image_Roboto-Regular_441x117.png,7,"[(168, 3, 268, 52), (57, 58, 268, 52)]"
synthetic_data_new/synthetic_image_Roboto-Regular_423x90.png,1,"[(35, 32, 179, 35)]"
synthetic_data_new/synthetic_image_Roboto-Regular_336x98.png,6,"[(0, 48, 257, 50)]"
synthetic_data_new/synthetic_image_Roboto-Regular_454x99.png,4,"[(220, 11, 207, 40), (141, 55, 207, 40), (3, 2, 207, 40)]"
synthetic_data_new/synthetic_image_Roboto-Regular_494x113.png,4,"[(16, 50, 257, 50)]"
synthetic_data_new/synthetic_image_Roboto-Regular_315x106.png,1,"[(62, 0, 168, 32)]"
synthetic_data_new/synthetic_image_Roboto-Regular_330x83.png,7,"[(32, 48, 134, 26), (19, 7, 134, 26), (192, 43, 134, 26), (189, 8, 134, 26)]"
synthetic_data_new/synthetic_image_Roboto-Regular_362x110.png,10,"[(80, 26, 196, 38), (95, 71, 196, 38)]"
synthetic_data_new/synthetic_image_Roboto-Regular_320x80.png,5,"[(10, 26, 173, 33)]"
synthetic_data_new/synthetic_image_Roboto-Regular_324x112.png,3,"[(100, 53, 173, 33), (8, 11, 173, 33)]"
synthetic_data_new/synthetic_image_Roboto-Regular_300x86.png,9,"[(79, 21, 201, 39)]"
synthetic_data_new/synthetic_image_Roboto-Regular_388x116.png,10,"[(64, 74, 184, 36), (82, 1, 184, 36)]"
synthetic_data_new/synthetic_image_Roboto-Regular_447x96.png,5,"[(183, 11, 162, 31), (14, 45, 162, 31), (199, 61, 162, 31), (6, 12, 162, 31)]"
synthetic_data_new/synthetic_image_Roboto-Regular_325x117.png,9,"[(13, 6, 268, 52), (57, 63, 268, 52)]"
synthetic_data_new/synthetic_image_Roboto-Regular_466x81.png,4,"[(118, 36, 156, 30), (29, 2, 156, 30), (283, 46, 156, 30), (273, 0, 156, 30)]"
synthetic_data_new/synthetic_image_Roboto-Regular_361x90.png,8,"[(1, 29, 263, 51)]"
synthetic_data_new/synthetic_image_Roboto-Regular_464x91.png,1,"[(8, 37, 201, 39)]"
synthetic_data_new/synthetic_image_Roboto-Regular_408x96.png,7,"[(7, 48, 223, 44), (52, 2, 223, 44)]"
synthetic_data_new/synthetic_image_Roboto-Regular_369x103.png,7,"[(128, 25, 201, 39)]"
synthetic_data_new/synthetic_image_Roboto-Regular_397x80.png,2,"[(72, 35, 134, 26), (210, 24, 134, 26)]"
synthetic_data_new/synthetic_image_Roboto-Regular_371x108.png,2,"[(84, 1, 151, 30), (138, 60, 151, 30)]"
synthetic_data_new/synthetic_image_Roboto-Regular_498x99.png,10,"[(293, 61, 151, 30), (81, 43, 151, 30), (174, 1, 151, 30), (327, 4, 151, 30), (9, 10, 151, 30)]"
synthetic_data_new/synthetic_image_Roboto-Regular_446x87.png,10,"[(196, 18, 201, 39)]"
synthetic_data_new/synthetic_image_Roboto-Regular_464x98.png,10,"[(174, 31, 240, 46)]"
synthetic_data_new/synthetic_image_Roboto-Regular_328x108.png,5,"[(127, 17, 196, 38), (6, 63, 196, 38)]"
synthetic_data_new/synthetic_image_Roboto-Regular_343x107.png,9,"[(167, 14, 156, 30), (74, 58, 156, 30), (5, 9, 156, 30)]"
synthetic_data_new/synthetic_image_Roboto-Regular_362x111.png,1,"[(6, 18, 251, 48)]"
synthetic_data_new/synthetic_image_Roboto-Regular_328x118.png,6,"[(153, 61, 145, 29), (151, 3, 145, 29), (5, 11, 145, 29), (1, 74, 145, 29)]"
synthetic_data_new/synthetic_image_Roboto-Regular_444x115.png,8,"[(89, 18, 268, 52)]"
synthetic_data_new/synthetic_image_Roboto-Regular_400x108.png,4,"[(188, 21, 151, 30), (136, 55, 151, 30), (26, 17, 151, 30)]"
synthetic_data_new/synthetic_image_Roboto-Regular_404x91.png,6,"[(58, 12, 196, 38), (110, 52, 196, 38)]"
synthetic_data_new/synthetic_image_Roboto-Regular_410x95.png,1,"[(19, 20, 162, 31)]"
synthetic_data_new/synthetic_image_Roboto-Regular_446x86.png,1,"[(16, 17, 184, 36)]"
synthetic_data_new/synthetic_image_Roboto-Regular_476x108.png,8,"[(65, 27, 268, 52)]"
synthetic_data_new/synthetic_image_Roboto-Regular_474x101.png,4,"[(116, 59, 179, 35), (94, 2, 179, 35), (286, 14, 179, 35)]"
synthetic_data_new/synthetic_image_Roboto-Regular_387x101.png,10,"[(6, 36, 162, 31), (193, 42, 162, 31), (159, 1, 162, 31), (12, 69, 162, 31)]"
synthetic_data_new/synthetic_image_Roboto-Regular_489x111.png,5,"[(142, 1, 251, 48), (218, 63, 251, 48)]"
synthetic_data_new/synthetic_image_Roboto-Regular_473x81.png,6,"[(126, 0, 246, 47)]"
synthetic_data_new/synthetic_image_OpenSans-Regular_425x90.png,10,"[(1, 20, 204, 55), (218, 29, 204, 55)]"
synthetic_data_new/synthetic_image_OpenSans-Regular_404x80.png,7,"[(94, 21, 136, 37), (248, 6, 136, 37)]"
synthetic_data_new/synthetic_image_OpenSans-Regular_401x84.png,1,"[(149, 12, 136, 37)]"
synthetic_data_new/synthetic_image_OpenSans-Regular_471x114.png,6,"[(126, 18, 159, 43), (272, 69, 159, 43), (64, 64, 159, 43), (306, 21, 159, 43)]"
synthetic_data_new/synthetic_image_OpenSans-Regular_300x117.png,2,"[(79, 34, 195, 51)]"
synthetic_data_new/synthetic_image_OpenSans-Regular_314x105.png,5,"[(57, 21, 214, 57)]"
synthetic_data_new/synthetic_image_OpenSans-Regular_377x103.png,6,"[(81, 31, 177, 48)]"
synthetic_data_new/synthetic_image_OpenSans-Regular_433x91.png,3,"[(69, 41, 132, 35), (202, 2, 132, 35), (281, 44, 132, 35)]"
synthetic_data_new/synthetic_image_OpenSans-Regular_375x93.png,6,"[(137, 60, 123, 33), (119, 2, 123, 33), (7, 49, 123, 33), (244, 6, 123, 33)]"
synthetic_data_new/synthetic_image_OpenSans-Regular_441x120.png,2,"[(109, 41, 186, 49)]"
synthetic_data_new/synthetic_image_OpenSans-Regular_462x117.png,6,"[(116, 66, 127, 34), (256, 6, 127, 34), (277, 73, 127, 34), (33, 23, 127, 34)]"
synthetic_data_new/synthetic_image_OpenSans-Regular_496x99.png,2,"[(0, 13, 118, 31), (277, 31, 118, 31)]"
synthetic_data_new/synthetic_image_OpenSans-Regular_429x92.png,1,"[(92, 35, 195, 51)]"
synthetic_data_new/synthetic_image_OpenSans-Regular_432x117.png,6,"[(258, 66, 109, 29), (61, 36, 109, 29), (112, 82, 109, 29), (319, 0, 109, 29), (193, 9, 109, 29), (80, 2, 109, 29)]"
synthetic_data_new/synthetic_image_OpenSans-Regular_319x106.png,2,"[(181, 53, 136, 37), (81, 15, 136, 37)]"
synthetic_data_new/synthetic_image_OpenSans-Regular_303x96.png,7,"[(155, 39, 132, 35), (93, 1, 132, 35), (21, 57, 132, 35)]"
synthetic_data_new/synthetic_image_OpenSans-Regular_500x119.png,3,"[(130, 53, 118, 31), (280, 27, 118, 31), (158, 4, 118, 31)]"
synthetic_data_new/synthetic_image_OpenSans-Regular_442x120.png,6,"[(80, 16, 118, 31), (292, 54, 118, 31), (192, 86, 118, 31), (232, 0, 118, 31), (76, 54, 118, 31)]"
synthetic_data_new/synthetic_image_OpenSans-Regular_331x108.png,10,"[(18, 15, 186, 49)]"
synthetic_data_new/synthetic_image_OpenSans-Regular_381x106.png,4,"[(86, 35, 150, 40)]"
synthetic_data_new/synthetic_image_OpenSans-Regular_411x117.png,5,"[(203, 62, 109, 29), (35, 1, 109, 29), (235, 18, 109, 29), (1, 67, 109, 29), (58, 35, 109, 29)]"
synthetic_data_new/synthetic_image_OpenSans-Regular_403x101.png,10,"[(278, 61, 114, 30), (57, 19, 114, 30), (244, 3, 114, 30), (58, 60, 114, 30)]"
synthetic_data_new/synthetic_image_OpenSans-Regular_336x91.png,5,"[(90, 27, 214, 57)]"
synthetic_data_new/synthetic_image_OpenSans-Regular_380x82.png,9,"[(161, 7, 200, 54)]"
